#format table ## [Custom WaveView] saved 20:37:00 Tue Aug 04 2026
TIME ,v(clk) ,v(out_n) ,v(out_p) 
 8.00000E-010 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 8.03750E-010 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 8.05310E-010 , 3.18410E-001 , 1.83100E+000 , 1.84560E+000 
 8.10290E-010 , 6.17320E-001 , 1.86450E+000 , 1.87730E+000 
 8.19940E-010 , 1.19630E+000 , 1.93060E+000 , 1.94120E+000 
 8.27140E-010 , 1.62870E+000 , 1.97950E+000 , 1.98940E+000 
 8.30000E-010 , 1.80000E+000 , 1.98470E+000 , 1.99400E+000 
 8.31120E-010 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 8.31740E-010 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 8.33720E-010 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 8.39450E-010 , 1.80000E+000 , 1.96170E+000 , 1.96890E+000 
 8.46680E-010 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 8.56510E-010 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 8.67460E-010 , 1.80000E+000 , 1.67280E+000 , 1.75270E+000 
 8.80800E-010 , 1.80000E+000 , 1.44160E+000 , 1.58650E+000 
 8.94240E-010 , 1.80000E+000 , 1.22160E+000 , 1.42130E+000 
 9.10250E-010 , 1.80000E+000 , 1.00310E+000 , 1.28980E+000 
 9.25590E-010 , 1.80000E+000 , 8.10670E-001 , 1.27820E+000 
 9.42970E-010 , 1.80000E+000 , 6.04570E-001 , 1.39730E+000 
 9.76140E-010 , 1.80000E+000 , 3.30890E-001 , 1.62630E+000 
 9.87960E-010 , 1.80000E+000 , 2.56530E-001 , 1.67820E+000 
 1.00000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 1.00290E-009 , 1.62300E+000 , 1.64000E-001 , 1.71250E+000 
 1.00410E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 1.00800E-009 , 1.32070E+000 , 1.24420E-001 , 1.71140E+000 
 1.02030E-009 , 5.83680E-001 , 1.05240E-001 , 1.72190E+000 
 1.03000E-009 , 0.00000E+000 , 2.23520E-001 , 1.76600E+000 
 1.03150E-009 , 0.00000E+000 , 2.60010E-001 , 1.78270E+000 
 1.03260E-009 , 0.00000E+000 , 2.84930E-001 , 1.79370E+000 
 1.03590E-009 , 0.00000E+000 , 3.66320E-001 , 1.82480E+000 
 1.04630E-009 , 0.00000E+000 , 6.28540E-001 , 1.89180E+000 
 1.05710E-009 , 0.00000E+000 , 8.92050E-001 , 1.92900E+000 
 1.06800E-009 , 0.00000E+000 , 1.11680E+000 , 1.94710E+000 
 1.08020E-009 , 0.00000E+000 , 1.30530E+000 , 1.94930E+000 
 1.10110E-009 , 0.00000E+000 , 1.53720E+000 , 1.91910E+000 
 1.11620E-009 , 0.00000E+000 , 1.64210E+000 , 1.88650E+000 
 1.13550E-009 , 0.00000E+000 , 1.71890E+000 , 1.85330E+000 
 1.15400E-009 , 0.00000E+000 , 1.75690E+000 , 1.83200E+000 
 1.17860E-009 , 0.00000E+000 , 1.78160E+000 , 1.81540E+000 
 1.20000E-009 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 1.20380E-009 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 1.20530E-009 , 3.18290E-001 , 1.83100E+000 , 1.84560E+000 
 1.21030E-009 , 6.16810E-001 , 1.86440E+000 , 1.87730E+000 
 1.21990E-009 , 1.19640E+000 , 1.93070E+000 , 1.94130E+000 
 1.22710E-009 , 1.62850E+000 , 1.97950E+000 , 1.98940E+000 
 1.23000E-009 , 1.80000E+000 , 1.98470E+000 , 1.99400E+000 
 1.23110E-009 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 1.23170E-009 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 1.23370E-009 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 1.23950E-009 , 1.80000E+000 , 1.96180E+000 , 1.96890E+000 
 1.24670E-009 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 1.25650E-009 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 1.26750E-009 , 1.80000E+000 , 1.67270E+000 , 1.75260E+000 
 1.28080E-009 , 1.80000E+000 , 1.44150E+000 , 1.58650E+000 
 1.29420E-009 , 1.80000E+000 , 1.22150E+000 , 1.42130E+000 
 1.31030E-009 , 1.80000E+000 , 1.00300E+000 , 1.28980E+000 
 1.32560E-009 , 1.80000E+000 , 8.10590E-001 , 1.27820E+000 
 1.34300E-009 , 1.80000E+000 , 6.04490E-001 , 1.39740E+000 
 1.37620E-009 , 1.80000E+000 , 3.30650E-001 , 1.62640E+000 
 1.38800E-009 , 1.80000E+000 , 2.56340E-001 , 1.67830E+000 
 1.40000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 1.40300E-009 , 1.62290E+000 , 1.63990E-001 , 1.71250E+000 
 1.40420E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 1.40800E-009 , 1.32090E+000 , 1.24450E-001 , 1.71140E+000 
 1.42030E-009 , 5.84660E-001 , 1.05160E-001 , 1.72190E+000 
 1.43000E-009 , 6.21725E-015 , 2.23530E-001 , 1.76600E+000 
 1.43150E-009 , 0.00000E+000 , 2.60000E-001 , 1.78270E+000 
 1.43260E-009 , 0.00000E+000 , 2.84930E-001 , 1.79370E+000 
 1.43590E-009 , 0.00000E+000 , 3.66380E-001 , 1.82480E+000 
 1.44630E-009 , 0.00000E+000 , 6.28700E-001 , 1.89180E+000 
