#format table ## [Custom WaveView] saved 20:38:31 Tue Aug 04 2026
TIME ,v(out_ctle_p,out_ctle_n) 
 0.00000E+000 , 2.09170E-013 
 1.00000E-012 , 1.75640E-013 
 1.95310E-012 , 1.43000E-013 
 3.47810E-012 ,-5.41280E-004 
 5.06140E-012 , 3.93130E-004 
 9.14300E-012 , 3.01220E-002 
 1.51070E-011 , 1.10000E-001 
 1.85550E-011 , 1.62690E-001 
 2.29490E-011 , 2.24160E-001 
 2.73440E-011 , 2.82640E-001 
 3.17380E-011 , 3.29860E-001 
 3.61330E-011 , 3.73580E-001 
 4.10160E-011 , 4.10300E-001 
 4.58980E-011 , 4.43580E-001 
 5.07810E-011 , 4.67810E-001 
 5.56640E-011 , 4.89630E-001 
 6.05470E-011 , 5.05360E-001 
 6.54300E-011 , 5.19490E-001 
 7.03120E-011 , 5.29640E-001 
 7.51950E-011 , 5.38750E-001 
 8.00780E-011 , 5.45290E-001 
 8.49610E-011 , 5.51170E-001 
 8.98440E-011 , 5.55400E-001 
 9.47270E-011 , 5.59200E-001 
 9.96090E-011 , 5.61940E-001 
 1.04490E-010 , 5.64410E-001 
 1.09370E-010 , 5.66190E-001 
 1.14260E-010 , 5.67800E-001 
 1.21090E-010 , 5.69320E-001 
 1.27930E-010 , 5.70650E-001 
 1.28420E-010 , 5.70720E-001 
 1.28910E-010 , 5.70800E-001 
 1.29690E-010 , 5.70920E-001 
 1.31840E-010 , 5.71230E-001 
 1.32320E-010 , 5.71290E-001 
 1.32810E-010 , 5.71360E-001 
 1.33590E-010 , 5.71460E-001 
 1.34770E-010 , 5.71600E-001 
 1.35250E-010 , 5.71660E-001 
 1.35740E-010 , 5.71710E-001 
 1.36230E-010 , 5.71770E-001 
 1.36720E-010 , 5.71820E-001 
 1.37210E-010 , 5.71880E-001 
 1.37700E-010 , 5.71930E-001 
 1.38180E-010 , 5.71980E-001 
 1.38670E-010 , 5.72030E-001 
 1.39450E-010 , 5.72100E-001 
 1.40630E-010 , 5.72220E-001 
 1.41110E-010 , 5.72260E-001 
 1.41600E-010 , 5.72300E-001 
 1.42380E-010 , 5.72370E-001 
 1.43550E-010 , 5.72470E-001 
 1.44040E-010 , 5.72510E-001 
 1.44530E-010 , 5.72550E-001 
 1.45310E-010 , 5.72600E-001 
 1.47810E-010 , 5.72780E-001 
 1.48440E-010 , 5.72820E-001 
 1.48930E-010 , 5.72850E-001 
 1.49410E-010 , 5.72890E-001 
 1.50200E-010 , 5.72930E-001 
 1.52700E-010 , 5.73080E-001 
 1.54300E-010 , 5.73160E-001 
 1.54790E-010 , 5.73180E-001 
 1.55270E-010 , 5.73210E-001 
 1.56050E-010 , 5.73240E-001 
 1.58550E-010 , 5.73360E-001 
 1.66020E-010 , 5.73620E-001 
 1.66500E-010 , 5.73640E-001 
 1.66990E-010 , 5.73650E-001 
 1.67770E-010 , 5.73670E-001 
